7450-074790
OS REV: 1.05 Sensor Cal: 1689191523
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1693336200,+3.57,+31.501, +8.320,+0.961
1693337100,+3.57,+31.466, +8.750,+0.961
1693338000,+3.57,+31.449, +8.816,+0.961
1693338900,+3.57,+31.440, +8.646,+0.961
1693339800,+3.57,+31.422, +8.645,+0.962
1693340700,+3.57,+31.422, +8.658,+0.961
1693341600,+3.57,+31.431, +8.428,+0.962
1693342500,+3.57,+31.449, +8.377,+0.961
1693343400,+3.57,+31.449, +8.400,+0.961
1693344300,+3.57,+31.449, +8.232,+0.962
1693345200,+3.57,+31.440, +8.184,+0.961
1693346100,+3.57,+31.405, +8.200,+0.961
1693347000,+3.57,+31.361, +8.144,+0.961
1693347900,+3.57,+31.370, +8.003,+0.962
1693348800,+3.57,+31.344, +8.090,+0.962
1693349700,+3.57,+31.309, +7.937,+0.961
1693350600,+3.57,+31.318, +7.840,+0.961
1693351500,+3.57,+31.292, +7.814,+0.962
1693352400,+3.57,+31.274, +7.760,+0.961
1693353300,+3.57,+31.257, +7.652,+0.961
1693354200,+3.57,+31.213, +7.713,+0.961
1693355100,+3.57,+31.187, +7.586,+0.961
1693356000,+3.57,+31.178, +7.466,+0.960
1693356900,+3.57,+31.170, +7.416,+0.961
1693357800,+3.57,+31.135, +7.410,+0.961
1693358700,+3.57,+31.135, +7.425,+0.962
1693359600,+3.57,+31.135, +7.359,+0.962
1693360500,+3.57,+31.126, +7.226,+0.961
1693361400,+3.57,+31.126, +6.980,+0.962
1693362300,+3.57,+31.100, +7.016,+0.961
1693363200,+3.57,+31.091, +7.042,+0.961
1693364100,+3.57,+31.065, +6.995,+0.961
1693365000,+3.57,+31.074, +6.892,+0.961
1693365900,+3.57,+31.056, +7.022,+0.961
1693366800,+3.57,+31.039, +6.985,+0.961
1693367700,+3.57,+31.030, +6.942,+0.961
1693368600,+3.57,+31.030, +6.988,+0.961
1693369500,+3.57,+31.004, +6.851,+0.961
1693370400,+3.57,+30.978, +6.743,+0.961
1693371300,+3.57,+31.004, +6.547,+0.961
1693372200,+3.57,+30.995, +5.520,+0.961
1693373100,+3.57,+30.952, +3.133,+0.962
1693374000,+3.57,+30.935, +2.663,+0.963
1693374900,+3.57,+30.900, +2.588,+0.963
1693375800,+3.57,+30.926, +2.780,+0.963
1693376700,+3.57,+30.926, +2.630,+0.963
1693377600,+3.57,+30.935, +3.849,+0.962
1693378500,+3.57,+30.978, +3.602,+0.962
1693379400,+3.57,+31.022, +3.236,+0.962
1693380300,+3.57,+30.995, +3.041,+0.963
1693381200,+3.57,+30.987, +3.141,+0.962
1693382100,+3.57,+30.987, +3.094,+0.962
1693383000,+3.57,+30.987, +3.007,+0.962
1693383900,+3.57,+30.987, +2.851,+0.963
1693384800,+3.57,+30.952, +2.671,+0.963
1693385700,+3.57,+30.943, +2.594,+0.963
1693386600,+3.57,+30.935, +2.613,+0.963
1693387500,+3.57,+30.926, +2.518,+0.963
1693388400,+3.57,+30.908, +2.785,+0.963
1693389300,+3.57,+30.882, +2.631,+0.963
1693390200,+3.57,+30.856, +2.553,+0.963
1693391100,+3.57,+30.856, +2.485,+0.963
1693392000,+3.57,+30.848, +2.597,+0.963
1693392900,+3.57,+30.839, +2.436,+0.963
1693393800,+3.56,+30.830, +2.406,+0.963
1693394700,+3.57,+30.804, +2.745,+0.963
1693395600,+3.57,+30.813, +2.382,+0.963
1693396500,+3.57,+30.804, +2.202,+0.963
1693397400,+3.57,+30.796, +2.135,+0.963
1693398300,+3.57,+30.796, +2.156,+0.963
1693399200,+3.57,+30.796, +2.841,+0.963
1693400100,+3.57,+30.856, +3.214,+0.962
1693401000,+3.57,+30.926, +4.406,+0.962
1693401900,+3.57,+30.935, +4.319,+0.961
1693402800,+3.57,+30.961, +4.553,+0.961
1693403700,+3.57,+30.978, +4.213,+0.961
1693404600,+3.57,+30.978, +4.305,+0.961
1693405500,+3.57,+30.987, +4.951,+0.961
1693406400,+3.57,+30.969, +5.335,+0.961
1693407300,+3.57,+31.048, +5.152,+0.961
1693408200,+3.57,+31.056, +5.271,+0.961
1693409100,+3.57,+31.091, +5.448,+0.961
1693410000,+3.57,+31.109, +5.883,+0.961
1693410900,+3.57,+31.170, +5.781,+0.961
1693411800,+3.57,+31.204, +5.667,+0.961
1693412700,+3.57,+31.231, +5.514,+0.961
1693413600,+3.57,+31.204, +5.819,+0.961
1693414500,+3.57,+31.204, +6.057,+0.961
1693415400,+3.57,+31.204, +6.695,+0.961
1693416300,+3.57,+31.091, +8.082,+0.961
1693417200,+3.57,+31.056, +8.309,+0.961
1693418100,+3.57,+31.170, +7.693,+0.961
1693419000,+3.57,+31.248, +7.479,+0.961
1693419900,+3.57,+31.239, +7.800,+0.961
1693420800,+3.57,+31.300, +7.954,+0.961
1693421700,+3.57,+31.361, +7.752,+0.961
1693422600,+3.57,+31.309, +8.004,+0.961
