7450-035196
OS REV: 1.05 Sensor Cal: 1660234958
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1695929940,+3.54,+32.392, +7.579,+0.923
1695930840,+3.54,+32.409, +7.294,+0.922
1695931740,+3.54,+32.418, +7.503,+0.922
1695932640,+3.54,+32.409, +7.382,+0.922
1695933540,+3.54,+32.409, +7.304,+0.922
1695934440,+3.54,+32.409, +7.198,+0.922
1695935340,+3.54,+32.313, +7.411,+0.923
1695936240,+3.54,+32.260, +7.210,+0.923
1695937140,+3.54,+32.260, +6.739,+0.923
1695938040,+3.54,+32.234, +6.792,+0.923
1695938940,+3.54,+32.216, +6.800,+0.923
1695939840,+3.54,+32.199, +6.688,+0.923
1695940740,+3.54,+32.190, +6.687,+0.923
1695941640,+3.54,+32.172, +6.490,+0.923
1695942540,+3.54,+32.146, +6.419,+0.922
1695943440,+3.54,+32.155, +6.397,+0.923
1695944340,+3.54,+32.146, +6.276,+0.922
1695945240,+3.54,+32.120, +6.336,+0.922
1695946140,+3.54,+32.085, +6.305,+0.922
1695947040,+3.54,+32.102, +6.202,+0.922
1695947940,+3.54,+32.094, +6.202,+0.923
1695948840,+3.54,+32.067, +6.051,+0.922
1695949740,+3.54,+32.067, +6.113,+0.922
1695950640,+3.54,+32.067, +6.180,+0.923
1695951540,+3.54,+32.041, +6.197,+0.923
1695952440,+3.54,+32.041, +6.041,+0.923
1695953340,+3.54,+32.015, +6.040,+0.922
1695954240,+3.54,+31.997, +6.027,+0.923
1695955140,+3.54,+31.980, +5.873,+0.923
1695956040,+3.54,+31.980, +5.986,+0.924
1695956940,+3.54,+31.989, +5.724,+0.923
1695957840,+3.54,+31.945, +5.684,+0.923
1695958740,+3.54,+31.945, +5.569,+0.923
1695959640,+3.54,+31.919, +5.816,+0.923
1695960540,+3.54,+31.910, +5.509,+0.923
1695961440,+3.53,+31.901, +5.523,+0.922
1695962340,+3.53,+31.884, +5.548,+0.923
1695963240,+3.53,+31.866, +5.081,+0.923
1695964140,+3.53,+31.840, +4.770,+0.923
1695965040,+3.53,+31.849, +4.604,+0.922
1695965940,+3.54,+31.814, +3.538,+0.922
1695966840,+3.54,+31.761, +3.797,+0.922
1695967740,+3.54,+31.735, +4.105,+0.922
1695968640,+3.54,+31.735, +4.934,+0.922
1695969540,+3.54,+31.726, +5.051,+0.923
1695970440,+3.54,+31.717, +4.831,+0.923
1695971340,+3.54,+31.726, +4.805,+0.923
1695972240,+3.54,+31.683, +4.748,+0.923
1695973140,+3.54,+31.665, +3.779,+0.922
1695974040,+3.54,+31.639, +4.154,+0.922
1695974940,+3.54,+31.604, +3.636,+0.922
1695975840,+3.54,+31.613, +3.266,+0.921
1695976740,+3.54,+31.569, +2.832,+0.920
1695977640,+3.54,+31.578, +3.282,+0.920
1695978540,+3.54,+31.560, +3.409,+0.919
1695979440,+3.54,+31.543, +3.092,+0.922
1695980340,+3.54,+31.525, +3.025,+0.919
1695981240,+3.54,+31.491, +2.899,+0.920
1695982140,+3.54,+31.491, +2.964,+0.919
1695983040,+3.54,+31.491, +3.643,+0.921
1695983940,+3.54,+31.464, +3.910,+0.922
1695984840,+3.54,+31.447, +4.244,+0.924
1695985740,+3.54,+31.395, +5.506,+0.923
1695986640,+3.54,+31.386, +6.100,+0.923
1695987540,+3.54,+31.316, +6.666,+0.923
1695988440,+3.54,+31.395, +8.195,+0.922
1695989340,+3.54,+31.438, +8.350,+0.922
1695990240,+3.54,+31.473, +9.053,+0.921
1695991140,+3.54,+31.482, +7.834,+0.923
1695992040,+3.54,+31.534, +7.239,+0.922
1695992940,+3.54,+31.639, +7.704,+0.923
1695993840,+3.54,+31.744,+10.084,+0.922
1695994740,+3.53,+31.735, +8.871,+0.924
1695995640,+3.53,+31.822, +9.540,+0.923
1695996540,+3.54,+31.910, +9.232,+0.923
1695997440,+3.54,+32.059,+10.116,+0.924
1695998340,+3.54,+32.067,+11.044,+0.923
1695999240,+3.54,+32.032,+10.951,+0.924
1696000140,+3.54,+32.006,+10.700,+0.924
1696001040,+3.54,+32.067,+10.676,+0.923
1696001940,+3.54,+32.076,+10.584,+0.922
1696002840,+3.54,+32.172,+10.417,+0.923
1696003740,+3.54,+32.286, +9.989,+0.923
1696004640,+3.54,+32.330, +9.936,+0.921
1696005540,+3.54,+32.322,+10.113,+0.922
1696006440,+3.54,+32.269,+10.453,+0.922
1696007340,+3.54,+32.357, +9.921,+0.922
1696008240,+3.54,+32.304, +9.357,+0.924
1696009140,+3.54,+32.383, +8.416,+0.922
1696010040,+3.54,+32.497, +8.060,+0.923
1696010940,+3.54,+32.550, +8.513,+0.922
1696011840,+3.54,+32.647, +8.430,+0.922
1696012740,+3.54,+32.691, +8.615,+0.922
1696013640,+3.53,+32.805, +8.729,+0.922
1696014540,+3.54,+32.805, +8.390,+0.922
1696015440,+3.53,+32.832, +8.382,+0.922
1696016340,+3.54,+32.787, +8.010,+0.922
