Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/09/2023
TIME       : 09:43:35
FILENAME   : C:\Users\jamar\Documents\Masters Thesis Project\Magueyes\CSV\VEI_S2_230907094335_X4479.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
                          =0
  Location                =VEI_S2
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X4479  324.
  Instrument number       =          UTC-4     
  Location                =VEI_S2
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =48:30:11 17/08/23
  End date / time         =48:30:09 07/09/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[cmH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2023/08/17 11:30:48,1034.025,21.513,0.012
2023/08/17 11:45:48,1034.200,22.193,0.012
2023/08/17 12:00:48,1033.850,21.733,0.012
2023/08/17 12:15:48,1033.150,21.453,0.012
2023/08/17 12:30:48,1033.850,21.390,0.012
2023/08/17 12:45:48,1033.442,21.360,0.012
2023/08/17 13:00:48,1033.442,20.523,0.012
2023/08/17 13:15:48,1033.850,24.960,0.008
2023/08/17 13:30:48,1268.000,31.360,48.964
2023/08/17 13:45:48,1267.825,31.303,49.064
2023/08/17 14:00:48,1267.358,31.320,49.404
2023/08/17 14:15:48,1268.408,31.320,49.752
2023/08/17 14:30:48,1268.700,31.327,46.628
2023/08/17 14:45:48,1269.342,31.350,46.400
2023/08/17 15:00:48,1269.925,31.413,43.364
2023/08/17 15:15:48,1269.342,31.477,43.520
2023/08/17 15:30:48,1270.217,31.537,43.716
2023/08/17 15:45:48,1271.267,31.560,43.548
2023/08/17 16:00:48,1271.558,31.547,43.148
2023/08/17 16:15:48,1270.975,31.530,43.272
2023/08/17 16:30:48,1271.150,31.523,43.468
2023/08/17 16:45:48,1271.267,31.523,45.580
2023/08/17 17:00:48,1271.733,31.490,45.764
2023/08/17 17:15:48,1270.975,31.460,45.920
2023/08/17 17:30:48,1272.200,31.390,46.068
2023/08/17 17:45:48,1273.542,31.407,46.232
2023/08/17 18:00:48,1273.833,31.383,46.432
2023/08/17 18:15:48,1274.417,31.390,46.660
2023/08/17 18:30:48,1273.717,31.383,46.416
2023/08/17 18:45:48,1273.833,31.460,46.992
2023/08/17 19:00:48,1275.350,31.413,47.028
2023/08/17 19:15:48,1275.350,31.413,47.160
2023/08/17 19:30:48,1275.525,31.383,48.016
2023/08/17 19:45:48,1277.917,31.367,48.216
2023/08/17 20:00:48,1278.208,31.390,48.436
2023/08/17 20:15:48,1277.158,31.360,44.608
2023/08/17 20:30:48,1275.642,31.333,44.664
2023/08/17 20:45:48,1278.500,31.327,45.132
2023/08/17 21:00:48,1278.792,31.320,45.460
2023/08/17 21:15:48,1279.725,31.320,45.832
2023/08/17 21:30:48,1279.842,31.303,44.924
2023/08/17 21:45:48,1278.675,31.273,45.820
2023/08/17 22:00:48,1280.308,31.273,46.328
2023/08/17 22:15:48,1281.358,31.263,46.828
2023/08/17 22:30:48,1280.600,31.233,47.380
2023/08/17 22:45:48,1281.067,31.227,47.912
2023/08/17 23:00:48,1280.600,31.217,48.332
2023/08/17 23:15:48,1281.358,31.227,46.644
2023/08/17 23:30:48,1281.650,31.203,43.160
2023/08/17 23:45:48,1281.825,31.203,47.112
2023/08/18 00:00:48,1279.550,31.233,48.284
2023/08/18 00:15:48,1279.842,31.217,48.644
2023/08/18 00:30:48,1281.067,31.210,48.944
2023/08/18 00:45:48,1280.017,31.217,48.408
2023/08/18 01:00:48,1278.967,31.227,48.780
2023/08/18 01:15:48,1280.308,31.210,49.204
2023/08/18 01:30:48,1278.675,31.210,49.492
2023/08/18 01:45:48,1277.450,31.217,49.816
2023/08/18 02:00:48,1277.450,31.203,50.044
2023/08/18 02:15:48,1276.983,31.170,50.292
2023/08/18 02:30:48,1277.625,31.147,50.032
2023/08/18 02:45:48,1276.692,31.140,50.272
2023/08/18 03:00:48,1276.692,31.110,50.532
2023/08/18 03:15:48,1277.158,31.083,50.836
2023/08/18 03:30:48,1276.225,31.047,51.096
2023/08/18 03:45:48,1276.108,31.013,51.312
2023/08/18 04:00:48,1276.108,30.983,51.484
2023/08/18 04:15:48,1275.350,30.960,51.640
2023/08/18 04:30:48,1274.883,30.953,51.708
2023/08/18 04:45:48,1276.692,30.930,51.340
2023/08/18 05:00:48,1275.642,30.867,50.616
2023/08/18 05:15:48,1274.008,30.833,50.288
2023/08/18 05:30:48,1273.367,30.827,49.872
2023/08/18 05:45:48,1273.367,30.810,49.612
2023/08/18 06:00:48,1270.858,30.820,49.376
2023/08/18 06:15:48,1270.392,30.803,49.236
2023/08/18 06:30:48,1269.925,30.763,49.084
2023/08/18 06:45:48,1270.683,30.757,49.412
2023/08/18 07:00:48,1268.292,30.757,49.216
2023/08/18 07:15:48,1269.750,30.750,49.128
2023/08/18 07:30:48,1268.408,30.710,48.896
2023/08/18 07:45:48,1269.167,30.733,49.020
2023/08/18 08:00:48,1269.167,30.670,48.584
2023/08/18 08:15:48,1269.750,30.670,48.416
2023/08/18 08:30:48,1268.292,30.733,47.896
2023/08/18 08:45:48,1269.750,30.763,47.156
2023/08/18 09:00:48,1267.825,30.797,46.724
2023/08/18 09:15:48,1267.242,30.827,46.684
2023/08/18 09:30:48,1267.825,30.843,46.836
2023/08/18 09:45:48,1269.050,30.860,46.904
2023/08/18 10:00:48,1267.825,30.843,46.972
2023/08/18 10:15:48,1266.775,30.883,47.136
2023/08/18 10:30:48,1268.117,30.943,47.280
2023/08/18 10:45:48,1267.242,31.037,47.408
2023/08/18 11:00:48,1266.308,31.077,47.600
2023/08/18 11:15:48,1266.192,31.110,42.876
2023/08/18 11:30:48,1266.775,31.140,43.272
2023/08/18 11:45:48,1266.308,31.227,43.612
2023/08/18 12:00:48,1265.433,31.263,43.864
2023/08/18 12:15:48,1265.842,31.297,43.764
2023/08/18 12:30:48,1265.433,31.390,44.064
2023/08/18 12:45:48,1267.242,31.477,44.364
2023/08/18 13:00:48,1266.600,31.570,44.584
2023/08/18 13:15:48,1265.842,31.560,44.740
2023/08/18 13:30:48,1266.600,31.610,44.900
2023/08/18 13:45:48,1268.000,31.577,45.056
2023/08/18 14:00:48,1267.358,31.570,45.164
2023/08/18 14:15:48,1268.875,31.360,45.208
2023/08/18 14:30:48,1268.292,31.310,45.392
2023/08/18 14:45:48,1268.000,31.287,45.604
