MiniDOT Logger Concatenated Data File
Sensor:             7450-035196
Concatenation Date: 2023Sep07 10:05:25 BOT

DO concentration compensated for salinity: 32.87 (ppt)
Saturation computed at elevation: 2.37 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                  Bolivia Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692288540,           2023-08-17 16:09:00,           2023-08-17 12:09:00,      3.500000,     21.325000,          7.013875,                    95.972203,      0.925000
                1692289440,           2023-08-17 16:24:00,           2023-08-17 12:24:00,      3.500000,     21.383000,          6.994647,                    95.809220,      0.924000
                1692290340,           2023-08-17 16:39:00,           2023-08-17 12:39:00,      3.500000,     21.550000,          6.955033,                    95.553325,      0.923000
                1692291240,           2023-08-17 16:54:00,           2023-08-17 12:54:00,      3.510000,     21.208000,          7.002802,                    95.618543,      0.925000
                1692292140,           2023-08-17 17:09:00,           2023-08-17 13:09:00,      3.500000,     21.392000,          6.968326,                    95.464164,      0.924000
                1692293040,           2023-08-17 17:24:00,           2023-08-17 13:24:00,      3.490000,     30.154000,          6.842458,                   108.752274,      0.920000
                1692293940,           2023-08-17 17:39:00,           2023-08-17 13:39:00,      3.490000,     31.238000,          6.620552,                   107.058865,      0.919000
                1692294840,           2023-08-17 17:54:00,           2023-08-17 13:54:00,      3.500000,     31.334000,          6.434029,                   104.200948,      0.920000
                1692295740,           2023-08-17 18:09:00,           2023-08-17 14:09:00,      3.500000,     31.377000,          6.414288,                   103.951942,      0.919000
                1692296640,           2023-08-17 18:24:00,           2023-08-17 14:24:00,      3.500000,     31.403000,          6.427860,                   104.214760,      0.919000
                1692297540,           2023-08-17 18:39:00,           2023-08-17 14:39:00,      3.500000,     31.421000,          6.540034,                   106.063621,      0.921000
                1692298440,           2023-08-17 18:54:00,           2023-08-17 14:54:00,      3.500000,     31.473000,          6.620703,                   107.460185,      0.920000
                1692299340,           2023-08-17 19:09:00,           2023-08-17 15:09:00,      3.500000,     31.499000,          6.698670,                   108.770333,      0.920000
                1692300240,           2023-08-17 19:24:00,           2023-08-17 15:24:00,      3.510000,     31.569000,          6.701726,                   108.940347,      0.920000
                1692301140,           2023-08-17 19:39:00,           2023-08-17 15:39:00,      3.510000,     31.630000,          6.701367,                   109.039443,      0.920000
                1692302040,           2023-08-17 19:54:00,           2023-08-17 15:54:00,      3.510000,     31.630000,          6.830159,                   111.135047,      0.920000
                1692302940,           2023-08-17 20:09:00,           2023-08-17 16:09:00,      3.510000,     31.630000,          6.900409,                   112.278104,      0.921000
                1692303840,           2023-08-17 20:24:00,           2023-08-17 16:24:00,      3.510000,     31.630000,          6.838522,                   111.271125,      0.920000
                1692304740,           2023-08-17 20:39:00,           2023-08-17 16:39:00,      3.510000,     31.613000,          6.768974,                   110.109949,      0.921000
                1692305640,           2023-08-17 20:54:00,           2023-08-17 16:54:00,      3.510000,     31.630000,          6.787507,                   110.441048,      0.921000
                1692306540,           2023-08-17 21:09:00,           2023-08-17 17:09:00,      3.510000,     31.560000,          6.837127,                   111.125574,      0.921000
                1692307440,           2023-08-17 21:24:00,           2023-08-17 17:24:00,      3.510000,     31.525000,          6.866951,                   111.548634,      0.922000
                1692308340,           2023-08-17 21:39:00,           2023-08-17 17:39:00,      3.520000,     31.491000,          6.838249,                   111.022723,      0.921000
                1692309240,           2023-08-17 21:54:00,           2023-08-17 17:54:00,      3.520000,     31.482000,          6.703554,                   108.820399,      0.922000
                1692310140,           2023-08-17 22:09:00,           2023-08-17 18:09:00,      3.520000,     31.473000,          6.628229,                   107.582330,      0.921000
                1692311040,           2023-08-17 22:24:00,           2023-08-17 18:24:00,      3.520000,     31.473000,          6.615686,                   107.378755,      0.921000
                1692311940,           2023-08-17 22:39:00,           2023-08-17 18:39:00,      3.520000,     31.473000,          6.634082,                   107.677331,      0.921000
                1692312840,           2023-08-17 22:54:00,           2023-08-17 18:54:00,      3.520000,     31.534000,          6.710651,                   109.025142,      0.921000
                1692313740,           2023-08-17 23:09:00,           2023-08-17 19:09:00,      3.520000,     31.508000,          6.534010,                   106.111746,      0.921000
                1692314640,           2023-08-17 23:24:00,           2023-08-17 19:24:00,      3.520000,     31.482000,          6.430963,                   104.395371,      0.922000
                1692315540,           2023-08-17 23:39:00,           2023-08-17 19:39:00,      3.520000,     31.473000,          6.561336,                   106.496599,      0.921000
                1692316440,           2023-08-17 23:54:00,           2023-08-17 19:54:00,      3.520000,     31.464000,          6.483505,                   105.218361,      0.921000
                1692317340,           2023-08-18 00:09:00,           2023-08-17 20:09:00,      3.520000,     31.464000,          6.412432,                   104.064949,      0.922000
                1692318240,           2023-08-18 00:24:00,           2023-08-17 20:24:00,      3.520000,     31.429000,          6.468190,                   104.911744,      0.921000
                1692319140,           2023-08-18 00:39:00,           2023-08-17 20:39:00,      3.530000,     31.429000,          6.388759,                   103.623402,      0.922000
                1692320040,           2023-08-18 00:54:00,           2023-08-17 20:54:00,      3.530000,     31.429000,          6.427220,                   104.247231,      0.921000
                1692320940,           2023-08-18 01:09:00,           2023-08-17 21:09:00,      3.530000,     31.386000,          6.327404,                   102.558474,      0.922000
                1692321840,           2023-08-18 01:24:00,           2023-08-17 21:24:00,      3.530000,     31.386000,          6.088287,                    98.682718,      0.923000
                1692322740,           2023-08-18 01:39:00,           2023-08-17 21:39:00,      3.530000,     31.395000,          5.935348,                    96.217487,      0.921000
                1692323640,           2023-08-18 01:54:00,           2023-08-17 21:54:00,      3.530000,     31.377000,          5.883387,                    95.347995,      0.921000
                1692324540,           2023-08-18 02:09:00,           2023-08-17 22:09:00,      3.530000,     31.334000,          5.687461,                    92.110064,      0.921000
                1692325440,           2023-08-18 02:24:00,           2023-08-17 22:24:00,      3.530000,     31.334000,          5.531961,                    89.591694,      0.921000
                1692326340,           2023-08-18 02:39:00,           2023-08-17 22:39:00,      3.530000,     31.308000,          5.665552,                    91.717479,      0.921000
                1692327240,           2023-08-18 02:54:00,           2023-08-17 22:54:00,      3.530000,     31.316000,          5.577824,                    90.308731,      0.921000
                1692328140,           2023-08-18 03:09:00,           2023-08-17 23:09:00,      3.530000,     31.299000,          5.474886,                    88.618245,      0.921000
                1692329040,           2023-08-18 03:24:00,           2023-08-17 23:24:00,      3.530000,     31.308000,          5.427292,                    87.860391,      0.920000
                1692329940,           2023-08-18 03:39:00,           2023-08-17 23:39:00,      3.530000,     31.299000,          5.263381,                    85.194758,      0.921000
                1692330840,           2023-08-18 03:54:00,           2023-08-17 23:54:00,      3.530000,     31.299000,          5.362028,                    86.791483,      0.921000
