ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-07T10:21:50.000,246.80,231.10,-154.97,-192.07
2023-09-07T10:36:50.000,180.62,150.42,-157.09,89.15
2023-09-07T10:51:50.000,43.77,42.72,32.16,29.70
2023-09-07T11:06:50.000,0.44,175.09,-0.43,0.04
2023-09-07T11:21:50.000,0.31,192.90,-0.30,-0.07
2023-09-07T11:36:50.000,0.13,107.97,-0.04,0.12
2023-09-07T11:51:50.000,0.10,126.50,-0.06,0.08
2023-09-07T12:06:50.000,0.36,151.94,-0.32,0.17
2023-09-07T12:21:50.000,0.26,121.52,-0.14,0.22
2023-09-07T12:36:50.000,0.08,358.41,0.08,-0.00
2023-09-07T12:51:50.000,0.71,152.83,-0.63,0.32
2023-09-07T13:06:50.000,0.32,148.46,-0.27,0.17
2023-09-07T13:21:50.000,0.08,256.77,-0.02,-0.08
2023-09-07T13:36:50.000,0.53,156.76,-0.48,0.21
2023-09-07T13:51:50.000,0.21,90.18,-0.00,0.21
2023-09-07T14:06:50.000,0.29,80.57,0.05,0.28
2023-09-07T14:21:50.000,0.09,309.40,0.06,-0.07
2023-09-07T14:36:50.000,0.39,68.68,0.14,0.36
2023-09-07T14:51:50.000,0.42,120.51,-0.21,0.36
2023-09-07T15:06:50.000,0.30,58.69,0.16,0.26
2023-09-07T15:21:50.000,0.27,43.84,0.20,0.19
2023-09-07T15:36:50.000,0.17,81.58,0.02,0.16
2023-09-07T15:51:50.000,0.16,150.92,-0.14,0.08
2023-09-07T16:06:50.000,0.23,208.94,-0.20,-0.11
2023-09-07T16:21:50.000,0.20,58.67,0.11,0.17
2023-09-07T16:36:50.000,0.01,93.53,-0.00,0.01
2023-09-07T16:51:50.000,0.27,42.54,0.20,0.18
2023-09-07T17:06:50.000,0.29,151.20,-0.25,0.14
2023-09-07T17:21:50.000,0.30,209.10,-0.26,-0.14
2023-09-07T17:36:50.000,0.10,304.84,0.06,-0.09
2023-09-07T17:51:50.000,0.16,24.16,0.14,0.06
2023-09-07T18:06:50.000,0.32,354.68,0.32,-0.03
2023-09-07T18:21:50.000,0.14,349.60,0.14,-0.03
2023-09-07T18:36:50.000,0.35,18.88,0.33,0.11
2023-09-07T18:51:50.000,0.12,339.39,0.12,-0.04
2023-09-07T19:06:50.000,0.02,77.33,0.00,0.02
2023-09-07T19:21:50.000,0.22,269.30,-0.00,-0.22
2023-09-07T19:36:50.000,0.17,228.10,-0.11,-0.13
2023-09-07T19:51:50.000,0.07,331.64,0.06,-0.03
2023-09-07T20:06:50.000,0.08,277.97,0.01,-0.08
2023-09-07T20:21:50.000,0.25,344.13,0.24,-0.07
2023-09-07T20:36:50.000,0.23,1.87,0.23,0.01
2023-09-07T20:51:50.000,0.23,290.49,0.08,-0.22
2023-09-07T21:06:50.000,0.29,335.89,0.26,-0.12
2023-09-07T21:21:50.000,0.30,354.29,0.30,-0.03
2023-09-07T21:36:50.000,0.21,350.77,0.21,-0.03
2023-09-07T21:51:50.000,0.18,342.34,0.17,-0.05
2023-09-07T22:06:50.000,0.06,311.05,0.04,-0.05
2023-09-07T22:21:50.000,0.20,317.44,0.15,-0.14
2023-09-07T22:36:50.000,0.17,344.93,0.16,-0.04
2023-09-07T22:51:50.000,0.26,174.43,-0.26,0.03
2023-09-07T23:06:50.000,0.07,50.84,0.04,0.05
2023-09-07T23:21:50.000,0.14,279.25,0.02,-0.13
2023-09-07T23:36:50.000,0.15,136.72,-0.11,0.10
2023-09-07T23:51:50.000,0.14,176.13,-0.14,0.01
2023-09-08T00:06:50.000,0.15,348.84,0.15,-0.03
2023-09-08T00:21:50.000,0.20,255.40,-0.05,-0.19
