ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-17T11:38:20.000,248.67,229.35,-162.00,-188.66
2023-08-17T11:53:20.000,248.97,203.67,-228.03,-99.95
2023-08-17T12:08:20.000,1.03,137.39,-0.76,0.70
2023-08-17T12:23:20.000,127.62,170.40,-125.84,21.28
2023-08-17T12:38:20.000,33.32,20.47,31.21,11.65
2023-08-17T12:53:20.000,33.45,20.51,31.33,11.72
2023-08-17T13:08:20.000,34.58,18.91,32.71,11.21
2023-08-17T13:23:20.000,1.18,103.77,-0.28,1.14
2023-08-17T13:38:20.000,0.53,85.97,0.04,0.53
2023-08-17T13:53:20.000,0.54,78.28,0.11,0.53
2023-08-17T14:08:20.000,0.80,96.58,-0.09,0.80
2023-08-17T14:23:20.000,1.74,93.99,-0.12,1.73
2023-08-17T14:38:20.000,1.19,94.11,-0.09,1.19
2023-08-17T14:53:20.000,0.88,79.59,0.16,0.87
2023-08-17T15:08:20.000,0.68,102.57,-0.15,0.66
2023-08-17T15:23:20.000,1.10,93.06,-0.06,1.10
2023-08-17T15:38:20.000,0.87,58.39,0.46,0.74
2023-08-17T15:53:20.000,0.71,69.00,0.25,0.66
2023-08-17T16:08:20.000,0.36,58.15,0.19,0.31
2023-08-17T16:23:20.000,0.46,79.96,0.08,0.45
2023-08-17T16:38:20.000,0.43,64.20,0.19,0.39
2023-08-17T16:53:20.000,0.76,74.97,0.20,0.73
2023-08-17T17:08:20.000,0.71,97.87,-0.10,0.70
2023-08-17T17:23:20.000,0.48,36.05,0.39,0.28
2023-08-17T17:38:20.000,0.40,74.62,0.11,0.39
2023-08-17T17:53:20.000,0.40,94.18,-0.03,0.39
2023-08-17T18:08:20.000,0.50,102.42,-0.11,0.49
2023-08-17T18:23:20.000,0.37,20.09,0.35,0.13
2023-08-17T18:38:20.000,0.40,312.03,0.27,-0.30
2023-08-17T18:53:20.000,0.70,36.55,0.56,0.42
2023-08-17T19:08:20.000,0.45,23.30,0.42,0.18
2023-08-17T19:23:20.000,0.45,75.74,0.11,0.43
2023-08-17T19:38:20.000,0.26,64.94,0.11,0.24
2023-08-17T19:53:20.000,0.37,66.89,0.14,0.34
2023-08-17T20:08:20.000,0.26,117.35,-0.12,0.24
2023-08-17T20:23:20.000,0.28,96.08,-0.03,0.28
2023-08-17T20:38:20.000,0.33,64.64,0.14,0.30
2023-08-17T20:53:20.000,0.18,87.68,0.01,0.18
2023-08-17T21:08:20.000,0.32,39.25,0.25,0.20
2023-08-17T21:23:20.000,0.26,115.52,-0.11,0.23
