7450-143429
OS REV: 1.05 Sensor Cal: 1660233334
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1695431040,+3.53,+31.928, +6.809,+0.967
1695431940,+3.53,+31.928, +6.685,+0.966
1695432840,+3.53,+31.911, +6.779,+0.966
1695433740,+3.53,+31.919, +6.580,+0.967
1695434640,+3.53,+31.884, +6.601,+0.967
1695435540,+3.53,+31.876, +6.523,+0.967
1695436440,+3.53,+31.858, +6.149,+0.964
1695437340,+3.53,+31.849, +6.112,+0.964
1695438240,+3.53,+31.841, +5.918,+0.966
1695439140,+3.53,+31.823, +5.533,+0.967
1695440040,+3.53,+31.788, +5.554,+0.967
1695440940,+3.53,+31.762, +5.602,+0.967
1695441840,+3.53,+31.753, +5.765,+0.967
1695442740,+3.53,+31.771, +6.100,+0.966
1695443640,+3.53,+31.736, +5.977,+0.967
1695444540,+3.53,+31.718, +5.864,+0.966
1695445440,+3.53,+31.718, +5.757,+0.967
1695446340,+3.53,+31.684, +5.647,+0.967
1695447240,+3.53,+31.684, +5.567,+0.967
1695448140,+3.53,+31.675, +5.701,+0.967
1695449040,+3.53,+31.666, +5.617,+0.967
1695449940,+3.53,+31.684, +5.292,+0.967
1695450840,+3.53,+31.657, +5.352,+0.967
1695451740,+3.53,+31.622, +5.061,+0.967
1695452640,+3.53,+31.596, +4.759,+0.967
1695453540,+3.53,+31.553, +4.434,+0.963
1695454440,+3.53,+31.535, +4.197,+0.963
1695455340,+3.53,+31.526, +5.229,+0.964
1695456240,+3.53,+31.483, +4.838,+0.965
1695457140,+3.53,+31.483, +4.537,+0.963
1695458040,+3.53,+31.465, +3.909,+0.967
1695458940,+3.53,+31.457, +3.708,+0.967
1695459840,+3.53,+31.448, +3.585,+0.968
1695460740,+3.53,+31.370, +1.852,+0.960
1695461640,+3.53,+31.352, +3.156,+0.968
1695462540,+3.53,+31.291, +2.501,+0.962
1695463440,+3.53,+31.239, +4.719,+0.968
1695464340,+3.53,+31.187, +4.579,+0.968
1695465240,+3.53,+31.222, +5.424,+0.968
1695466140,+3.53,+31.239, +5.135,+0.965
1695467040,+3.53,+31.282, +5.879,+0.965
1695467940,+3.53,+31.230, +6.086,+0.965
1695468840,+3.53,+31.282, +6.614,+0.965
1695469740,+3.53,+31.274, +7.230,+0.967
1695470640,+3.53,+31.239, +7.497,+0.966
1695471540,+3.53,+31.230, +7.721,+0.966
1695472440,+3.53,+31.282, +8.011,+0.967
1695473340,+3.53,+31.317, +8.901,+0.967
1695474240,+3.53,+31.396, +8.701,+0.968
1695475140,+3.53,+31.448, +9.095,+0.967
1695476040,+3.53,+31.509, +9.177,+0.966
1695476940,+3.53,+31.570, +9.503,+0.966
1695477840,+3.53,+31.649, +9.938,+0.965
1695478740,+3.53,+31.666, +9.400,+0.967
1695479640,+3.53,+31.631, +9.615,+0.967
1695480540,+3.53,+31.649, +9.641,+0.967
1695481440,+3.53,+31.631, +9.144,+0.967
1695482340,+3.53,+31.666, +8.981,+0.967
1695483240,+3.53,+31.684, +9.060,+0.967
1695484140,+3.53,+31.666, +8.188,+0.967
1695485040,+3.53,+31.692, +8.213,+0.967
1695485940,+3.53,+31.736, +8.807,+0.967
1695486840,+3.53,+31.806, +8.586,+0.967
1695487740,+3.53,+31.841, +8.520,+0.967
1695488640,+3.53,+31.902, +8.524,+0.967
1695489540,+3.53,+31.954, +8.625,+0.967
1695490440,+3.53,+31.998, +8.615,+0.967
1695491340,+3.53,+32.016, +8.562,+0.967
1695492240,+3.53,+32.051, +8.593,+0.966
1695493140,+3.53,+32.033, +8.822,+0.966
1695494040,+3.53,+32.051, +8.724,+0.966
1695494940,+3.53,+32.103, +8.987,+0.967
1695495840,+3.53,+32.051, +9.109,+0.967
1695496740,+3.53,+32.068, +9.238,+0.967
1695497640,+3.53,+31.963, +8.713,+0.967
1695498540,+3.53,+31.963, +8.421,+0.967
1695499440,+3.53,+31.946, +8.325,+0.967
1695500340,+3.53,+31.946, +8.033,+0.967
1695501240,+3.53,+31.963, +8.099,+0.967
1695502140,+3.53,+31.972, +8.218,+0.967
1695503040,+3.53,+31.981, +7.924,+0.966
1695503940,+3.53,+31.998, +7.774,+0.967
1695504840,+3.53,+31.981, +7.579,+0.966
1695505740,+3.53,+31.998, +7.886,+0.967
1695506640,+3.53,+31.946, +7.468,+0.966
1695507540,+3.53,+31.937, +7.343,+0.967
1695508440,+3.53,+31.937, +7.323,+0.967
1695509340,+3.53,+31.911, +7.120,+0.966
1695510240,+3.53,+31.911, +7.006,+0.967
1695511140,+3.53,+31.946, +7.183,+0.967
1695512040,+3.53,+31.954, +7.185,+0.966
1695512940,+3.53,+31.946, +7.063,+0.966
1695513840,+3.53,+31.902, +7.010,+0.967
1695514740,+3.53,+31.911, +6.816,+0.966
1695515640,+3.53,+31.884, +6.842,+0.966
1695516540,+3.53,+31.902, +6.432,+0.966
1695517440,+3.53,+31.902, +6.271,+0.967
