MiniDOT Logger Concatenated Data File
Sensor:             7450-143429
Concatenation Date: 2023Oct12 11:00:46 BOT

DO concentration compensated for salinity: 32.43 (ppt)
Saturation computed at pressure: 1030.62 (mbar)

            Unix Timestamp,               UTC_Date_&_Time,                  Bolivia Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692288240,           2023-08-17 16:04:00,           2023-08-17 12:04:00,      3.460000,     22.119000,          6.935413,                    94.325082,      0.971000
                1692289140,           2023-08-17 16:19:00,           2023-08-17 12:19:00,      3.470000,     21.734000,          6.987168,                    94.377720,      0.971000
                1692290040,           2023-08-17 16:34:00,           2023-08-17 12:34:00,      3.470000,     22.177000,          6.918574,                    94.193272,      0.971000
                1692290940,           2023-08-17 16:49:00,           2023-08-17 12:49:00,      3.480000,     21.341000,          7.015590,                    94.094850,      0.971000
                1692291840,           2023-08-17 17:04:00,           2023-08-17 13:04:00,      3.470000,     20.939000,          7.047166,                    93.833986,      0.971000
                1692292740,           2023-08-17 17:19:00,           2023-08-17 13:19:00,      3.470000,     24.650000,          7.914989,                   112.517984,      0.984000
                1692293640,           2023-08-17 17:34:00,           2023-08-17 13:34:00,      3.470000,     31.074000,          6.765093,                   106.901212,      0.973000
                1692294540,           2023-08-17 17:49:00,           2023-08-17 13:49:00,      3.470000,     31.291000,          6.434951,                   102.034063,      0.971000
                1692295440,           2023-08-17 18:04:00,           2023-08-17 14:04:00,      3.470000,     31.387000,          6.464998,                   102.666065,      0.971000
                1692296340,           2023-08-17 18:19:00,           2023-08-17 14:19:00,      3.480000,     31.387000,          6.419742,                   101.947376,      0.970000
                1692297240,           2023-08-17 18:34:00,           2023-08-17 14:34:00,      3.480000,     31.422000,          6.551586,                   104.098599,      0.970000
                1692298140,           2023-08-17 18:49:00,           2023-08-17 14:49:00,      3.480000,     31.465000,          6.598848,                   104.920712,      0.970000
                1692299040,           2023-08-17 19:04:00,           2023-08-17 15:04:00,      3.480000,     31.509000,          6.751737,                   107.426128,      0.970000
                1692299940,           2023-08-17 19:19:00,           2023-08-17 15:19:00,      3.490000,     31.579000,          6.717074,                   106.992590,      0.970000
                1692300840,           2023-08-17 19:34:00,           2023-08-17 15:34:00,      3.490000,     31.631000,          6.818913,                   108.703725,      0.971000
                1692301740,           2023-08-17 19:49:00,           2023-08-17 15:49:00,      3.490000,     31.666000,          6.877872,                   109.704061,      0.970000
                1692302640,           2023-08-17 20:04:00,           2023-08-17 16:04:00,      3.490000,     31.640000,          7.020183,                   111.928133,      0.971000
                1692303540,           2023-08-17 20:19:00,           2023-08-17 16:19:00,      3.490000,     31.649000,          6.866839,                   109.498776,      0.970000
                1692304440,           2023-08-17 20:34:00,           2023-08-17 16:34:00,      3.490000,     31.622000,          6.851536,                   109.208316,      0.970000
                1692305340,           2023-08-17 20:49:00,           2023-08-17 16:49:00,      3.500000,     31.622000,          6.854051,                   109.248402,      0.970000
                1692306240,           2023-08-17 21:04:00,           2023-08-17 17:04:00,      3.500000,     31.588000,          6.893182,                   109.813296,      0.970000
                1692307140,           2023-08-17 21:19:00,           2023-08-17 17:19:00,      3.500000,     31.553000,          6.825006,                   108.667261,      0.970000
                1692308040,           2023-08-17 21:34:00,           2023-08-17 17:34:00,      3.500000,     31.518000,          6.906038,                   109.896791,      0.971000
                1692308940,           2023-08-17 21:49:00,           2023-08-17 17:49:00,      3.500000,     31.518000,          6.787850,                   108.016048,      0.971000
                1692309840,           2023-08-17 22:04:00,           2023-08-17 18:04:00,      3.500000,     31.492000,          6.715562,                   106.821922,      0.969000
                1692310740,           2023-08-17 22:19:00,           2023-08-17 18:19:00,      3.500000,     31.509000,          6.645285,                   105.732383,      0.970000
                1692311640,           2023-08-17 22:34:00,           2023-08-17 18:34:00,      3.500000,     31.474000,          6.577125,                   104.590152,      0.970000
                1692312540,           2023-08-17 22:49:00,           2023-08-17 18:49:00,      3.510000,     31.570000,          6.747182,                   107.456922,      0.971000
                1692313440,           2023-08-17 23:04:00,           2023-08-17 19:04:00,      3.510000,     31.553000,          6.597842,                   105.050358,      0.970000
                1692314340,           2023-08-17 23:19:00,           2023-08-17 19:19:00,      3.510000,     31.500000,          6.445725,                   102.542660,      0.970000
                1692315240,           2023-08-17 23:34:00,           2023-08-17 19:34:00,      3.510000,     31.500000,          6.584866,                   104.756195,      0.970000
                1692316140,           2023-08-17 23:49:00,           2023-08-17 19:49:00,      3.510000,     31.465000,          6.550235,                   104.147766,      0.970000
                1692317040,           2023-08-18 00:04:00,           2023-08-17 20:04:00,      3.510000,     31.474000,          6.471515,                   102.910738,      0.970000
                1692317940,           2023-08-18 00:19:00,           2023-08-17 20:19:00,      3.510000,     31.457000,          6.551851,                   104.160312,      0.970000
                1692318840,           2023-08-18 00:34:00,           2023-08-17 20:34:00,      3.510000,     31.448000,          6.499818,                   103.318427,      0.970000
                1692319740,           2023-08-18 00:49:00,           2023-08-17 20:49:00,      3.510000,     31.431000,          6.485442,                   103.062267,      0.971000
                1692320640,           2023-08-18 01:04:00,           2023-08-17 21:04:00,      3.510000,     31.439000,          6.344695,                   100.838338,      0.970000
                1692321540,           2023-08-18 01:19:00,           2023-08-17 21:19:00,      3.510000,     31.422000,          6.263273,                    99.517568,      0.970000
                1692322440,           2023-08-18 01:34:00,           2023-08-17 21:34:00,      3.510000,     31.404000,          6.072055,                    96.451892,      0.971000
                1692323340,           2023-08-18 01:49:00,           2023-08-17 21:49:00,      3.510000,     31.396000,          5.973104,                    94.868113,      0.970000
                1692324240,           2023-08-18 02:04:00,           2023-08-17 22:04:00,      3.520000,     31.378000,          5.867382,                    93.162500,      0.970000
                1692325140,           2023-08-18 02:19:00,           2023-08-17 22:19:00,      3.520000,     31.361000,          5.727310,                    90.914031,      0.970000
                1692326040,           2023-08-18 02:34:00,           2023-08-17 22:34:00,      3.520000,     31.361000,          5.568079,                    88.386424,      0.970000
                1692326940,           2023-08-18 02:49:00,           2023-08-17 22:49:00,      3.520000,     31.335000,          5.639144,                    89.477753,      0.969000
                1692327840,           2023-08-18 03:04:00,           2023-08-17 23:04:00,      3.520000,     31.335000,          5.584672,                    88.613427,      0.970000
                1692328740,           2023-08-18 03:19:00,           2023-08-17 23:19:00,      3.520000,     31.317000,          5.500754,                    87.257060,      0.970000
                1692329640,           2023-08-18 03:34:00,           2023-08-17 23:34:00,      3.520000,     31.335000,          5.342480,                    84.770497,      0.969000
                1692330540,           2023-08-18 03:49:00,           2023-08-17 23:49:00,      3.520000,     31.309000,          5.211589,                    82.659666,      0.969000
                1692331440,           2023-08-18 04:04:00,           2023-08-18 00:04:00,      3.520000,     31.335000,          5.292197,                    83.972658,      0.970000
                1692332340,           2023-08-18 04:19:00,           2023-08-18 00:19:00,      3.520000,     31.291000,          5.106731,                    80.973509,      0.969000
                1692333240,           2023-08-18 04:34:00,           2023-08-18 00:34:00,      3.520000,     31.317000,          4.929225,                    78.191046,      0.969000
