7450-004112
OS REV: 1.05 Sensor Cal: 1660230310
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1694820060,+3.53,+31.898, +5.546,+0.929
1694820960,+3.53,+31.898, +5.406,+0.929
1694821860,+3.53,+31.915, +5.364,+0.929
1694822760,+3.53,+31.863, +5.188,+0.929
1694823660,+3.53,+31.854, +5.233,+0.929
1694824560,+3.53,+31.854, +5.074,+0.929
1694825460,+3.53,+31.863, +5.028,+0.929
1694826360,+3.53,+31.836, +4.977,+0.929
1694827260,+3.53,+31.810, +4.985,+0.929
1694828160,+3.53,+31.819, +4.784,+0.929
1694829060,+3.53,+31.793, +4.775,+0.929
1694829960,+3.53,+31.784, +4.727,+0.929
1694830860,+3.53,+31.775, +4.575,+0.929
1694831760,+3.53,+31.775, +4.437,+0.929
1694832660,+3.53,+31.793, +4.257,+0.929
1694833560,+3.53,+31.810, +4.208,+0.929
1694834460,+3.53,+31.784, +4.307,+0.929
1694835360,+3.53,+31.801, +4.383,+0.930
1694836260,+3.53,+31.775, +4.108,+0.929
1694837160,+3.53,+31.749, +3.948,+0.930
1694838060,+3.53,+31.758, +3.956,+0.930
1694838960,+3.53,+31.758, +3.803,+0.930
1694839860,+3.53,+31.723, +3.817,+0.930
1694840760,+3.53,+31.714, +3.514,+0.930
1694841660,+3.53,+31.679, +3.642,+0.929
1694842560,+3.53,+31.697, +3.170,+0.929
1694843460,+3.53,+31.653, +3.966,+0.929
1694844360,+3.53,+31.635, +3.671,+0.930
1694845260,+3.53,+31.618, +2.559,+0.929
1694846160,+3.53,+31.600, +3.004,+0.930
1694847060,+3.53,+31.565, +2.378,+0.930
1694847960,+3.53,+31.539, +2.037,+0.929
1694848860,+3.53,+31.522, +2.484,+0.929
1694849760,+3.53,+31.513, +2.030,+0.929
1694850660,+3.53,+31.487, +1.962,+0.929
1694851560,+3.53,+31.461, +1.837,+0.928
1694852460,+3.53,+31.452, +1.498,+0.927
1694853360,+3.53,+31.408, +1.588,+0.927
1694854260,+3.53,+31.339, +1.792,+0.927
1694855160,+3.53,+31.321, +2.057,+0.927
1694856060,+3.53,+31.269, +3.254,+0.931
1694856960,+3.53,+31.217, +2.449,+0.931
1694857860,+3.53,+31.225, +2.093,+0.929
1694858760,+3.53,+31.225, +2.052,+0.929
1694859660,+3.53,+31.208, +2.272,+0.929
1694860560,+3.53,+31.208, +2.578,+0.930
1694861460,+3.53,+31.208, +2.522,+0.930
1694862360,+3.53,+31.199, +2.785,+0.931
1694863260,+3.53,+31.199, +2.960,+0.931
1694864160,+3.53,+31.199, +3.182,+0.931
1694865060,+3.53,+31.225, +2.715,+0.931
1694865960,+3.53,+31.225, +2.858,+0.931
1694866860,+3.53,+31.243, +3.113,+0.931
1694867760,+3.53,+31.278, +3.166,+0.931
1694868660,+3.53,+31.252, +2.402,+0.931
1694869560,+3.53,+31.304, +2.865,+0.931
1694870460,+3.53,+31.356, +3.098,+0.931
1694871360,+3.53,+31.417, +3.121,+0.931
1694872260,+3.53,+31.461, +3.239,+0.931
1694873160,+3.53,+31.478, +3.535,+0.931
1694874060,+3.53,+31.487, +3.490,+0.931
1694874960,+3.53,+31.496, +3.586,+0.930
1694875860,+3.53,+31.592, +3.812,+0.930
1694876760,+3.53,+31.583, +3.689,+0.930
1694877660,+3.53,+31.670, +4.311,+0.929
1694878560,+3.53,+31.723, +4.632,+0.929
1694879460,+3.53,+31.740, +4.567,+0.929
1694880360,+3.53,+31.775, +4.399,+0.930
1694881260,+3.53,+31.845, +4.323,+0.929
1694882160,+3.53,+31.898, +4.383,+0.929
1694883060,+3.53,+31.994, +4.763,+0.929
1694883960,+3.53,+32.064, +5.693,+0.929
1694884860,+3.53,+32.073, +5.406,+0.929
1694885760,+3.53,+32.073, +5.857,+0.928
1694886660,+3.53,+32.003, +5.448,+0.929
1694887560,+3.53,+32.055, +5.985,+0.929
1694888460,+3.53,+32.038, +5.792,+0.929
1694889360,+3.53,+32.029, +5.548,+0.929
1694890260,+3.53,+32.003, +6.009,+0.929
1694891160,+3.53,+32.003, +5.989,+0.928
1694892060,+3.53,+32.012, +6.493,+0.929
1694892960,+3.53,+31.994, +6.423,+0.929
1694893860,+3.53,+31.994, +6.541,+0.929
1694894760,+3.53,+32.012, +6.646,+0.929
1694895660,+3.53,+31.985, +6.699,+0.929
1694896560,+3.53,+31.976, +6.502,+0.929
1694897460,+3.53,+31.976, +6.385,+0.929
1694898360,+3.53,+31.941, +6.710,+0.929
1694899260,+3.53,+31.915, +6.689,+0.928
1694900160,+3.53,+31.906, +6.296,+0.929
1694901060,+3.53,+31.915, +6.279,+0.929
1694901960,+3.53,+31.915, +6.165,+0.930
1694902860,+3.53,+31.906, +5.890,+0.929
1694903760,+3.53,+31.880, +6.062,+0.929
1694904660,+3.53,+31.924, +5.586,+0.929
1694905560,+3.53,+31.941, +4.480,+0.929
1694906460,+3.53,+31.871, +5.389,+0.928
