MiniDOT Logger Concatenated Data File
Sensor:             7450-004112
Concatenation Date: 2023Sep26 13:49:39 BOT

DO concentration compensated for salinity: 32.55 (ppt)
Saturation computed at elevation: 2.37 (meter)

            Unix Timestamp,               UTC_Date_&_Time,                  Bolivia Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692288360,           2023-08-17 16:06:00,           2023-08-17 12:06:00,      3.480000,     21.606000,          6.976056,                    95.759291,      0.930000
                1692289260,           2023-08-17 16:21:00,           2023-08-17 12:21:00,      3.480000,     21.999000,          6.921134,                    95.676754,      0.929000
                1692290160,           2023-08-17 16:36:00,           2023-08-17 12:36:00,      3.480000,     21.590000,          6.966801,                    95.604750,      0.930000
                1692291060,           2023-08-17 16:51:00,           2023-08-17 12:51:00,      3.490000,     21.188000,          7.006663,                    95.457379,      0.930000
                1692291960,           2023-08-17 17:06:00,           2023-08-17 13:06:00,      3.480000,     20.929000,          7.025572,                    95.266814,      0.930000
                1692292860,           2023-08-17 17:21:00,           2023-08-17 13:21:00,      3.480000,     26.966000,          6.368784,                    95.914854,      0.931000
                1692293760,           2023-08-17 17:36:00,           2023-08-17 13:36:00,      3.480000,     31.112000,          6.700667,                   107.948934,      0.930000
                1692294660,           2023-08-17 17:51:00,           2023-08-17 13:51:00,      3.480000,     31.330000,          6.368212,                   102.948302,      0.928000
                1692295560,           2023-08-17 18:06:00,           2023-08-17 14:06:00,      3.480000,     31.374000,          6.422976,                   103.905997,      0.928000
                1692296460,           2023-08-17 18:21:00,           2023-08-17 14:21:00,      3.480000,     31.400000,          6.387155,                   103.369050,      0.927000
                1692297360,           2023-08-17 18:36:00,           2023-08-17 14:36:00,      3.490000,     31.426000,          6.526385,                   105.665804,      0.928000
                1692298260,           2023-08-17 18:51:00,           2023-08-17 14:51:00,      3.490000,     31.469000,          6.605446,                   107.018626,      0.929000
                1692299160,           2023-08-17 19:06:00,           2023-08-17 15:06:00,      3.490000,     31.522000,          6.759145,                   109.600599,      0.929000
                1692300060,           2023-08-17 19:21:00,           2023-08-17 15:21:00,      3.490000,     31.574000,          6.721854,                   109.085533,      0.929000
                1692300960,           2023-08-17 19:36:00,           2023-08-17 15:36:00,      3.490000,     31.618000,          6.795081,                   110.350567,      0.929000
                1692301860,           2023-08-17 19:51:00,           2023-08-17 15:51:00,      3.490000,     31.653000,          6.911809,                   112.308254,      0.929000
                1692302760,           2023-08-17 20:06:00,           2023-08-17 16:06:00,      3.490000,     31.635000,          6.976174,                   113.321899,      0.929000
                1692303660,           2023-08-17 20:21:00,           2023-08-17 16:21:00,      3.500000,     31.618000,          6.930798,                   112.554585,      0.929000
                1692304560,           2023-08-17 20:36:00,           2023-08-17 16:36:00,      3.500000,     31.635000,          6.794376,                   110.368752,      0.928000
                1692305460,           2023-08-17 20:51:00,           2023-08-17 16:51:00,      3.500000,     31.644000,          6.804500,                   110.548917,      0.929000
                1692306360,           2023-08-17 21:06:00,           2023-08-17 17:06:00,      3.500000,     31.583000,          6.873552,                   111.563234,      0.929000
                1692307260,           2023-08-17 21:21:00,           2023-08-17 17:21:00,      3.500000,     31.557000,          6.875021,                   111.541242,      0.929000
                1692308160,           2023-08-17 21:36:00,           2023-08-17 17:36:00,      3.500000,     31.504000,          6.906430,                   111.956996,      0.930000
                1692309060,           2023-08-17 21:51:00,           2023-08-17 17:51:00,      3.500000,     31.496000,          6.725436,                   109.009181,      0.930000
                1692309960,           2023-08-17 22:06:00,           2023-08-17 18:06:00,      3.510000,     31.478000,          6.682576,                   108.283673,      0.930000
                1692310860,           2023-08-17 22:21:00,           2023-08-17 18:21:00,      3.510000,     31.478000,          6.690115,                   108.405828,      0.930000
                1692311760,           2023-08-17 22:36:00,           2023-08-17 18:36:00,      3.510000,     31.478000,          6.535992,                   105.908436,      0.930000
                1692312660,           2023-08-17 22:51:00,           2023-08-17 18:51:00,      3.510000,     31.557000,          6.751041,                   109.529776,      0.930000
                1692313560,           2023-08-17 23:06:00,           2023-08-17 19:06:00,      3.510000,     31.531000,          6.507074,                   105.528251,      0.930000
                1692314460,           2023-08-17 23:21:00,           2023-08-17 19:21:00,      3.510000,     31.478000,          6.443016,                   104.401856,      0.929000
                1692315360,           2023-08-17 23:36:00,           2023-08-17 19:36:00,      3.510000,     31.496000,          6.586387,                   106.755411,      0.930000
                1692316260,           2023-08-17 23:51:00,           2023-08-17 19:51:00,      3.510000,     31.469000,          6.571941,                   106.475798,      0.929000
                1692317160,           2023-08-18 00:06:00,           2023-08-17 20:06:00,      3.510000,     31.478000,          6.407835,                   103.831800,      0.930000
                1692318060,           2023-08-18 00:21:00,           2023-08-17 20:21:00,      3.510000,     31.461000,          6.516598,                   105.565793,      0.930000
                1692318960,           2023-08-18 00:36:00,           2023-08-17 20:36:00,      3.510000,     31.452000,          6.473813,                   104.857758,      0.929000
                1692319860,           2023-08-18 00:51:00,           2023-08-17 20:51:00,      3.510000,     31.443000,          6.460344,                   104.624700,      0.930000
                1692320760,           2023-08-18 01:06:00,           2023-08-17 21:06:00,      3.510000,     31.443000,          6.277749,                   101.667591,      0.930000
                1692321660,           2023-08-18 01:21:00,           2023-08-17 21:21:00,      3.510000,     31.426000,          6.167903,                    99.861779,      0.929000
                1692322560,           2023-08-18 01:36:00,           2023-08-17 21:36:00,      3.520000,     31.400000,          5.966705,                    96.564531,      0.930000
                1692323460,           2023-08-18 01:51:00,           2023-08-17 21:51:00,      3.520000,     31.391000,          5.939004,                    96.102527,      0.929000
                1692324360,           2023-08-18 02:06:00,           2023-08-17 22:06:00,      3.520000,     31.382000,          5.808287,                    93.973927,      0.930000
                1692325260,           2023-08-18 02:21:00,           2023-08-17 22:21:00,      3.520000,     31.374000,          5.622302,                    90.953313,      0.930000
                1692326160,           2023-08-18 02:36:00,           2023-08-17 22:36:00,      3.520000,     31.347000,          5.550101,                    89.746921,      0.930000
                1692327060,           2023-08-18 02:51:00,           2023-08-17 22:51:00,      3.520000,     31.313000,          5.548207,                    89.667989,      0.930000
                1692327960,           2023-08-18 03:06:00,           2023-08-17 23:06:00,      3.520000,     31.339000,          5.599462,                    90.533623,      0.930000
                1692328860,           2023-08-18 03:21:00,           2023-08-17 23:21:00,      3.520000,     31.330000,          5.456194,                    88.204654,      0.930000
                1692329760,           2023-08-18 03:36:00,           2023-08-17 23:36:00,      3.520000,     31.313000,          5.350566,                    86.473779,      0.931000
                1692330660,           2023-08-18 03:51:00,           2023-08-17 23:51:00,      3.520000,     31.313000,          5.151249,                    83.252499,      0.930000
                1692331560,           2023-08-18 04:06:00,           2023-08-18 00:06:00,      3.520000,     31.321000,          5.334703,                    86.228346,      0.930000
                1692332460,           2023-08-18 04:21:00,           2023-08-18 00:21:00,      3.520000,     31.330000,          5.176475,                    83.682727,      0.929000
                1692333360,           2023-08-18 04:36:00,           2023-08-18 00:36:00,      3.520000,     31.339000,          4.963807,                    80.256175,      0.930000
                1692334260,           2023-08-18 04:51:00,           2023-08-18 00:51:00,      3.520000,     31.330000,          4.854045,                    78.470326,      0.929000
                1692335160,           2023-08-18 05:06:00,           2023-08-18 01:06:00,      3.520000,     31.347000,          4.749453,                    76.800179,      0.930000
                1692336060,           2023-08-18 05:21:00,           2023-08-18 01:21:00,      3.520000,     31.330000,          4.874982,                    78.808794,      0.930000
                1692336960,           2023-08-18 05:36:00,           2023-08-18 01:36:00,      3.520000,     31.330000,          5.137951,                    83.059947,      0.929000
                1692337860,           2023-08-18 05:51:00,           2023-08-18 01:51:00,      3.520000,     31.321000,          5.115285,                    82.681749,      0.930000
                1692338760,           2023-08-18 06:06:00,           2023-08-18 02:06:00,      3.520000,     31.295000,          5.424149,                    87.638010,      0.930000
                1692339660,           2023-08-18 06:21:00,           2023-08-18 02:21:00,      3.520000,     31.269000,          5.367878,                    86.693107,      0.931000
                1692340560,           2023-08-18 06:36:00,           2023-08-18 02:36:00,      3.520000,     31.260000,          4.959164,                    80.080807,      0.930000
                1692341460,           2023-08-18 06:51:00,           2023-08-18 02:51:00,      3.520000,     31.243000,          4.756416,                    76.786124,      0.930000
                1692342360,           2023-08-18 07:06:00,           2023-08-18 03:06:00,      3.520000,     31.217000,          4.485801,                    72.387549,      0.930000
                1692343260,           2023-08-18 07:21:00,           2023-08-18 03:21:00,      3.530000,     31.199000,          4.629732,                    74.688843,      0.930000
                1692344160,           2023-08-18 07:36:00,           2023-08-18 03:36:00,      3.530000,     31.147000,          3.999799,                    64.473282,      0.930000
                1692345060,           2023-08-18 07:51:00,           2023-08-18 03:51:00,      3.530000,     31.121000,          3.719190,                    59.925367,      0.930000
                1692345960,           2023-08-18 08:06:00,           2023-08-18 04:06:00,      3.530000,     31.104000,          4.145282,                    66.772748,      0.930000
                1692346860,           2023-08-18 08:21:00,           2023-08-18 04:21:00,      3.530000,     31.086000,          4.553770,                    73.331764,      0.930000
                1692347760,           2023-08-18 08:36:00,           2023-08-18 04:36:00,      3.530000,     31.069000,          4.733684,                    76.208429,      0.931000
                1692348660,           2023-08-18 08:51:00,           2023-08-18 04:51:00,      3.530000,     31.034000,          4.750234,                    76.432368,      0.931000
