ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-17T11:42:45.000,239.90,84.75,21.96,238.90
2023-08-17T11:57:45.000,248.97,228.99,-163.38,-187.86
2023-08-17T12:12:45.000,56.69,224.01,-40.77,-39.38
2023-08-17T12:27:45.000,141.41,253.42,-40.34,-135.53
2023-08-17T12:42:45.000,141.21,253.38,-40.39,-135.31
2023-08-17T12:57:45.000,141.08,252.98,-41.29,-134.90
2023-08-17T13:12:45.000,58.91,12.06,57.61,12.31
2023-08-17T13:27:45.000,1.17,40.22,0.89,0.75
2023-08-17T13:42:45.000,1.00,22.47,0.92,0.38
2023-08-17T13:57:45.000,0.98,35.82,0.79,0.57
2023-08-17T14:12:45.000,0.90,32.57,0.76,0.49
2023-08-17T14:27:45.000,1.26,39.84,0.97,0.81
2023-08-17T14:42:45.000,1.12,26.12,1.01,0.49
2023-08-17T14:57:45.000,0.84,43.72,0.61,0.58
2023-08-17T15:12:45.000,1.13,35.73,0.92,0.66
2023-08-17T15:27:45.000,1.08,48.14,0.72,0.80
2023-08-17T15:42:45.000,0.74,53.51,0.44,0.60
2023-08-17T15:57:45.000,1.11,23.86,1.01,0.45
2023-08-17T16:12:45.000,1.18,37.71,0.93,0.72
2023-08-17T16:27:45.000,0.97,45.46,0.68,0.69
2023-08-17T16:42:45.000,0.93,43.67,0.67,0.64
2023-08-17T16:57:45.000,0.93,41.00,0.71,0.61
2023-08-17T17:12:45.000,0.37,68.35,0.14,0.35
2023-08-17T17:27:45.000,1.27,43.95,0.91,0.88
2023-08-17T17:42:45.000,0.86,50.96,0.54,0.67
2023-08-17T17:57:45.000,0.80,37.37,0.63,0.48
2023-08-17T18:12:45.000,1.20,28.82,1.05,0.58
2023-08-17T18:27:45.000,0.88,38.42,0.69,0.55
2023-08-17T18:42:45.000,0.84,60.02,0.42,0.72
2023-08-17T18:57:45.000,0.88,41.08,0.66,0.58
2023-08-17T19:12:45.000,1.08,48.75,0.71,0.81
2023-08-17T19:27:45.000,0.74,37.58,0.59,0.45
2023-08-17T19:42:45.000,0.79,43.72,0.57,0.55
2023-08-17T19:57:45.000,0.81,42.17,0.60,0.54
2023-08-17T20:12:45.000,0.67,65.60,0.28,0.61
2023-08-17T20:27:45.000,0.67,58.56,0.35,0.57
2023-08-17T20:42:45.000,0.84,54.81,0.48,0.69
2023-08-17T20:57:45.000,0.83,65.87,0.34,0.76
2023-08-17T21:12:45.000,0.72,48.23,0.48,0.53
2023-08-17T21:27:45.000,0.69,55.99,0.39,0.58
2023-08-17T21:42:45.000,0.52,57.61,0.28,0.44
2023-08-17T21:57:45.000,0.70,47.79,0.47,0.52
2023-08-17T22:12:45.000,0.64,68.23,0.24,0.59
2023-08-17T22:27:45.000,0.44,58.71,0.23,0.37
2023-08-17T22:42:45.000,0.47,89.34,0.01,0.47
2023-08-17T22:57:45.000,0.70,60.11,0.35,0.61
2023-08-17T23:12:45.000,0.55,44.75,0.39,0.39
2023-08-17T23:27:45.000,0.78,45.78,0.55,0.56
2023-08-17T23:42:45.000,0.69,50.59,0.44,0.53
2023-08-17T23:57:45.000,0.69,57.73,0.37,0.59
2023-08-18T00:12:45.000,0.73,60.14,0.36,0.63
2023-08-18T00:27:45.000,0.75,70.43,0.25,0.71
2023-08-18T00:42:45.000,0.79,50.34,0.51,0.61
2023-08-18T00:57:45.000,0.68,60.92,0.33,0.60
2023-08-18T01:12:45.000,0.91,54.35,0.53,0.74
2023-08-18T01:27:45.000,0.69,56.22,0.38,0.57
2023-08-18T01:42:45.000,0.78,64.57,0.33,0.70
2023-08-18T01:57:45.000,0.81,52.86,0.49,0.65
2023-08-18T02:12:45.000,0.78,42.49,0.57,0.52
2023-08-18T02:27:45.000,0.80,63.90,0.35,0.72
2023-08-18T02:42:45.000,0.80,52.64,0.48,0.63
2023-08-18T02:57:45.000,1.02,48.73,0.67,0.77
2023-08-18T03:12:45.000,0.73,54.80,0.42,0.60
2023-08-18T03:27:45.000,0.76,57.33,0.41,0.64
2023-08-18T03:42:45.000,0.91,37.83,0.72,0.56
2023-08-18T03:57:45.000,0.52,43.97,0.38,0.36
