7450-108745
OS REV: 1.05 Sensor Cal: 1665599189
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1712353200,+3.51,+29.253, +8.463,+0.902
1712354100,+3.51,+29.271, +8.294,+0.901
1712355000,+3.51,+29.271, +8.337,+0.901
1712355900,+3.51,+29.253, +7.909,+0.901
1712356800,+3.51,+29.245, +7.674,+0.901
1712357700,+3.51,+29.296, +7.619,+0.900
1712358600,+3.51,+29.279, +7.808,+0.900
1712359500,+3.51,+29.262, +7.586,+0.900
1712360400,+3.51,+29.262, +7.551,+0.900
1712361300,+3.51,+29.253, +7.243,+0.899
1712362200,+3.51,+29.228, +7.441,+0.899
1712363100,+3.51,+29.245, +7.267,+0.900
1712364000,+3.51,+29.228, +7.065,+0.900
1712364900,+3.51,+29.245, +6.947,+0.900
1712365800,+3.51,+29.228, +6.553,+0.898
1712366700,+3.51,+29.236, +6.395,+0.898
1712367600,+3.51,+29.193, +6.413,+0.899
1712368500,+3.51,+29.253, +6.454,+0.899
1712369400,+3.51,+29.236, +6.332,+0.899
1712370300,+3.51,+29.210, +5.980,+0.898
1712371200,+3.51,+29.202, +5.906,+0.898
1712372100,+3.51,+29.193, +5.837,+0.898
1712373000,+3.51,+29.219, +5.789,+0.898
1712373900,+3.51,+29.185, +6.164,+0.899
1712374800,+3.51,+29.193, +6.304,+0.899
1712375700,+3.51,+29.168, +6.387,+0.899
1712376600,+3.51,+29.150, +5.931,+0.898
1712377500,+3.51,+29.176, +5.825,+0.898
1712378400,+3.51,+29.150, +5.846,+0.898
1712379300,+3.51,+29.142, +5.707,+0.897
1712380200,+3.51,+29.150, +5.640,+0.896
1712381100,+3.51,+29.133, +5.658,+0.897
1712382000,+3.51,+29.125, +5.787,+0.898
1712382900,+3.51,+29.107, +5.671,+0.898
1712383800,+3.51,+29.107, +5.777,+0.898
1712384700,+3.51,+29.116, +5.499,+0.898
1712385600,+3.51,+29.107, +5.295,+0.897
1712386500,+3.51,+29.116, +5.193,+0.896
1712387400,+3.51,+29.099, +4.922,+0.896
1712388300,+3.51,+29.107, +4.901,+0.896
1712389200,+3.51,+29.107, +4.651,+0.897
1712390100,+3.51,+29.125, +4.540,+0.896
1712391000,+3.51,+29.099, +4.743,+0.896
1712391900,+3.51,+29.082, +4.667,+0.897
1712392800,+3.51,+29.082, +4.445,+0.896
1712393700,+3.51,+29.082, +4.367,+0.895
1712394600,+3.51,+29.073, +4.382,+0.897
1712395500,+3.51,+29.065, +4.236,+0.897
1712396400,+3.51,+29.030, +4.357,+0.896
1712397300,+3.51,+29.022, +4.355,+0.895
1712398200,+3.51,+28.979, +4.866,+0.897
1712399100,+3.51,+28.962, +5.062,+0.898
1712400000,+3.51,+28.953, +5.078,+0.897
1712400900,+3.51,+28.945, +4.471,+0.897
1712401800,+3.51,+28.936, +4.541,+0.897
1712402700,+3.51,+28.953, +5.079,+0.898
1712403600,+3.51,+28.936, +5.389,+0.899
1712404500,+3.51,+28.927, +5.766,+0.899
1712405400,+3.51,+28.936, +6.201,+0.899
1712406300,+3.51,+28.979, +6.640,+0.899
1712407200,+3.51,+28.996, +7.390,+0.900
1712408100,+3.51,+28.987, +8.031,+0.900
1712409000,+3.51,+29.013, +8.554,+0.900
1712409900,+3.51,+29.065, +8.730,+0.900
1712410800,+3.51,+29.107, +8.645,+0.900
1712411700,+3.51,+29.142, +8.820,+0.900
1712412600,+3.51,+29.168, +8.881,+0.901
1712413500,+3.51,+29.219, +9.191,+0.900
1712414400,+3.51,+29.228, +8.978,+0.900
1712415300,+3.51,+29.296, +9.113,+0.900
1712416200,+3.51,+29.356, +9.419,+0.900
1712417100,+3.51,+29.382, +9.344,+0.901
1712418000,+3.51,+29.468, +9.537,+0.901
1712418900,+3.51,+29.485, +9.562,+0.901
1712419800,+3.51,+29.485, +9.820,+0.902
1712420700,+3.51,+29.511,+10.090,+0.901
1712421600,+3.51,+29.545,+10.160,+0.900
1712422500,+3.51,+29.563,+10.151,+0.901
1712423400,+3.51,+29.588, +9.914,+0.902
1712424300,+3.51,+29.528, +9.762,+0.902
1712425200,+3.51,+29.597, +9.524,+0.902
1712426100,+3.51,+29.666, +9.372,+0.902
1712427000,+3.51,+29.657, +9.437,+0.902
1712427900,+3.51,+29.614, +9.761,+0.902
1712428800,+3.51,+29.675, +9.654,+0.901
1712429700,+3.51,+29.675, +9.666,+0.902
1712430600,+3.51,+29.700, +9.732,+0.903
1712431500,+3.51,+29.675, +9.882,+0.902
1712432400,+3.51,+29.700,+10.020,+0.902
1712433300,+3.51,+29.735,+10.056,+0.902
1712434200,+3.51,+29.735,+10.231,+0.901
1712435100,+3.51,+29.743,+10.126,+0.902
1712436000,+3.51,+29.735,+10.071,+0.902
1712436900,+3.51,+29.735,+10.143,+0.902
1712437800,+3.51,+29.804,+10.295,+0.902
1712438700,+3.51,+29.761,+10.198,+0.902
1712439600,+3.51,+29.769,+10.198,+0.902
