ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-17T11:40:25.000,157.85,271.91,5.26,-157.76
2023-08-17T11:55:25.000,245.74,208.86,-215.21,-118.61
2023-08-17T12:10:25.000,237.99,8.36,235.46,34.59
2023-08-17T12:25:25.000,191.10,169.53,-187.92,34.72
2023-08-17T12:40:25.000,44.69,237.56,-23.97,-37.71
2023-08-17T12:55:25.000,45.23,231.99,-27.85,-35.64
2023-08-17T13:10:25.000,65.40,205.07,-59.23,-27.71
2023-08-17T13:25:25.000,1.13,134.30,-0.79,0.81
2023-08-17T13:40:25.000,0.28,163.73,-0.27,0.08
2023-08-17T13:55:25.000,0.36,181.37,-0.36,-0.01
2023-08-17T14:10:25.000,0.51,167.79,-0.49,0.11
2023-08-17T14:25:25.000,0.49,197.49,-0.47,-0.15
2023-08-17T14:40:25.000,0.86,181.95,-0.86,-0.03
2023-08-17T14:55:25.000,0.77,182.61,-0.77,-0.04
2023-08-17T15:10:25.000,1.06,203.91,-0.97,-0.43
2023-08-17T15:25:25.000,1.02,190.39,-1.00,-0.18
2023-08-17T15:40:25.000,0.28,184.04,-0.28,-0.02
2023-08-17T15:55:25.000,0.34,178.01,-0.34,0.01
2023-08-17T16:10:25.000,0.58,185.43,-0.57,-0.05
2023-08-17T16:25:25.000,0.38,186.13,-0.37,-0.04
2023-08-17T16:40:25.000,0.35,198.80,-0.33,-0.11
2023-08-17T16:55:25.000,0.58,163.18,-0.56,0.17
2023-08-17T17:10:25.000,0.52,191.77,-0.51,-0.11
2023-08-17T17:25:25.000,0.21,190.62,-0.21,-0.04
2023-08-17T17:40:25.000,0.57,211.41,-0.49,-0.30
2023-08-17T17:55:25.000,0.40,212.37,-0.34,-0.21
2023-08-17T18:10:25.000,0.23,217.45,-0.19,-0.14
2023-08-17T18:25:25.000,0.34,173.71,-0.34,0.04
2023-08-17T18:40:25.000,0.15,208.54,-0.13,-0.07
2023-08-17T18:55:25.000,0.26,196.31,-0.25,-0.07
2023-08-17T19:10:25.000,0.36,209.07,-0.32,-0.18
2023-08-17T19:25:25.000,0.21,210.10,-0.18,-0.10
2023-08-17T19:40:25.000,0.18,196.65,-0.17,-0.05
2023-08-17T19:55:25.000,0.22,176.33,-0.22,0.01
2023-08-17T20:10:25.000,0.34,200.05,-0.32,-0.12
2023-08-17T20:25:25.000,0.10,110.35,-0.03,0.09
2023-08-17T20:40:25.000,0.27,193.61,-0.26,-0.06
2023-08-17T20:55:25.000,0.53,201.14,-0.49,-0.19
2023-08-17T21:10:25.000,0.44,210.88,-0.38,-0.23
2023-08-17T21:25:25.000,0.36,226.28,-0.25,-0.26
2023-08-17T21:40:25.000,0.16,299.72,0.08,-0.14
2023-08-17T21:55:25.000,0.53,248.85,-0.19,-0.49
2023-08-17T22:10:25.000,0.25,259.32,-0.05,-0.24
2023-08-17T22:25:25.000,0.61,265.64,-0.05,-0.60
2023-08-17T22:40:25.000,0.50,242.12,-0.23,-0.44
2023-08-17T22:55:25.000,0.59,267.70,-0.02,-0.59
2023-08-17T23:10:25.000,0.18,213.11,-0.15,-0.10
2023-08-17T23:25:25.000,0.03,25.67,0.03,0.01
2023-08-17T23:40:25.000,0.34,242.65,-0.16,-0.30
2023-08-17T23:55:25.000,0.31,220.58,-0.23,-0.20
2023-08-18T00:10:25.000,0.47,250.08,-0.16,-0.44
2023-08-18T00:25:25.000,0.25,205.29,-0.23,-0.11
2023-08-18T00:40:25.000,0.22,210.48,-0.19,-0.11
2023-08-18T00:55:25.000,0.38,232.05,-0.24,-0.30
2023-08-18T01:10:25.000,0.10,235.23,-0.06,-0.09
2023-08-18T01:25:25.000,0.16,252.76,-0.05,-0.15
2023-08-18T01:40:25.000,0.23,216.29,-0.18,-0.13
2023-08-18T01:55:25.000,0.34,230.24,-0.22,-0.26
2023-08-18T02:10:25.000,0.11,207.08,-0.10,-0.05
2023-08-18T02:25:25.000,0.23,218.41,-0.18,-0.14
2023-08-18T02:40:25.000,0.16,206.89,-0.14,-0.07
2023-08-18T02:55:25.000,0.09,200.34,-0.08,-0.03
2023-08-18T03:10:25.000,0.33,250.61,-0.11,-0.31
2023-08-18T03:25:25.000,0.21,51.49,0.13,0.17
2023-08-18T03:40:25.000,0.29,222.98,-0.21,-0.20
2023-08-18T03:55:25.000,0.46,6.22,0.46,0.05
2023-08-18T04:10:25.000,0.23,325.27,0.19,-0.13
2023-08-18T04:25:25.000,0.41,345.11,0.39,-0.10
2023-08-18T04:40:25.000,0.50,248.46,-0.18,-0.46
2023-08-18T04:55:25.000,0.73,244.81,-0.31,-0.66
2023-08-18T05:10:25.000,0.53,258.89,-0.10,-0.52
2023-08-18T05:25:25.000,0.23,278.11,0.03,-0.23
2023-08-18T05:40:25.000,0.43,268.65,-0.01,-0.43
2023-08-18T05:55:25.000,0.31,251.04,-0.10,-0.29
2023-08-18T06:10:25.000,0.15,202.73,-0.13,-0.06
2023-08-18T06:25:25.000,0.14,153.45,-0.12,0.06
2023-08-18T06:40:25.000,0.18,205.80,-0.16,-0.08
2023-08-18T06:55:25.000,0.31,232.43,-0.19,-0.24
2023-08-18T07:10:25.000,0.19,197.36,-0.19,-0.06
2023-08-18T07:25:25.000,0.32,204.55,-0.29,-0.13
2023-08-18T07:40:25.000,0.22,78.31,0.05,0.22
2023-08-18T07:55:25.000,0.27,241.21,-0.13,-0.24
2023-08-18T08:10:25.000,0.53,215.63,-0.43,-0.31
2023-08-18T08:25:25.000,0.41,221.91,-0.30,-0.27
2023-08-18T08:40:25.000,0.23,216.14,-0.19,-0.14
2023-08-18T08:55:25.000,0.19,204.89,-0.17,-0.08
2023-08-18T09:10:25.000,0.21,230.52,-0.13,-0.16
2023-08-18T09:25:25.000,0.19,207.74,-0.17,-0.09
2023-08-18T09:40:25.000,0.33,229.11,-0.22,-0.25
2023-08-18T09:55:25.000,0.34,203.08,-0.32,-0.13
2023-08-18T10:10:25.000,0.52,195.25,-0.50,-0.14
2023-08-18T10:25:25.000,0.31,176.56,-0.31,0.02
2023-08-18T10:40:25.000,0.22,166.33,-0.22,0.05
2023-08-18T10:55:25.000,0.59,199.90,-0.55,-0.20
2023-08-18T11:10:25.000,0.76,201.37,-0.71,-0.28
2023-08-18T11:25:25.000,1.13,192.46,-1.10,-0.24
2023-08-18T11:40:25.000,1.61,191.11,-1.58,-0.31
2023-08-18T11:55:25.000,1.37,187.50,-1.36,-0.18
2023-08-18T12:10:25.000,1.83,193.78,-1.78,-0.44
2023-08-18T12:25:25.000,1.80,185.46,-1.79,-0.17
2023-08-18T12:40:25.000,1.67,187.01,-1.66,-0.20
2023-08-18T12:55:25.000,1.20,188.41,-1.19,-0.18
2023-08-18T13:10:25.000,1.19,195.12,-1.15,-0.31
2023-08-18T13:25:25.000,1.47,206.86,-1.31,-0.66
2023-08-18T13:40:25.000,1.53,190.98,-1.50,-0.29
2023-08-18T13:55:25.000,0.86,195.82,-0.83,-0.23
2023-08-18T14:10:25.000,0.44,199.86,-0.42,-0.15
2023-08-18T14:25:25.000,0.65,175.52,-0.65,0.05
2023-08-18T14:40:25.000,0.60,182.24,-0.60,-0.02
2023-08-18T14:55:25.000,1.39,195.31,-1.34,-0.37
2023-08-18T15:10:25.000,0.87,174.83,-0.87,0.08
2023-08-18T15:25:25.000,0.56,198.42,-0.53,-0.18
2023-08-18T15:40:25.000,0.83,184.77,-0.82,-0.07
2023-08-18T15:55:25.000,0.52,141.33,-0.40,0.32
2023-08-18T16:10:25.000,0.35,156.18,-0.32,0.14
2023-08-18T16:25:25.000,0.45,159.56,-0.42,0.16
2023-08-18T16:40:25.000,0.85,172.14,-0.84,0.12
2023-08-18T16:55:25.000,0.75,161.61,-0.71,0.24
2023-08-18T17:10:25.000,0.19,151.59,-0.17,0.09
2023-08-18T17:25:25.000,0.41,191.14,-0.40,-0.08
2023-08-18T17:40:25.000,0.34,149.15,-0.30,0.18
2023-08-18T17:55:25.000,0.21,183.94,-0.21,-0.01
2023-08-18T18:10:25.000,0.21,163.30,-0.20,0.06
2023-08-18T18:25:25.000,0.31,202.29,-0.28,-0.12
2023-08-18T18:40:25.000,0.22,194.18,-0.21,-0.05
2023-08-18T18:55:25.000,0.76,232.36,-0.46,-0.60
2023-08-18T19:10:25.000,0.27,148.92,-0.23,0.14
2023-08-18T19:25:25.000,0.21,117.73,-0.10,0.19
2023-08-18T19:40:25.000,0.55,95.79,-0.06,0.54
2023-08-18T19:55:25.000,0.30,191.34,-0.29,-0.06
2023-08-18T20:10:25.000,0.22,208.82,-0.20,-0.11
2023-08-18T20:25:25.000,0.19,161.34,-0.18,0.06
2023-08-18T20:40:25.000,0.29,237.50,-0.16,-0.25
2023-08-18T20:55:25.000,0.29,276.71,0.03,-0.29
2023-08-18T21:10:25.000,0.38,192.59,-0.37,-0.08
2023-08-18T21:25:25.000,0.22,145.81,-0.18,0.12
2023-08-18T21:40:25.000,0.22,172.85,-0.22,0.03
2023-08-18T21:55:25.000,0.49,208.51,-0.43,-0.24
2023-08-18T22:10:25.000,0.41,191.32,-0.40,-0.08
2023-08-18T22:25:25.000,0.45,228.90,-0.30,-0.34
2023-08-18T22:40:25.000,0.42,239.02,-0.22,-0.36
2023-08-18T22:55:25.000,0.17,212.66,-0.14,-0.09
2023-08-18T23:10:25.000,0.33,211.90,-0.28,-0.18
2023-08-18T23:25:25.000,0.32,211.09,-0.27,-0.17
2023-08-18T23:40:25.000,0.53,216.23,-0.42,-0.31
2023-08-18T23:55:25.000,0.45,223.89,-0.32,-0.31
2023-08-19T00:10:25.000,0.45,234.82,-0.26,-0.37
2023-08-19T00:25:25.000,0.35,212.00,-0.30,-0.19
2023-08-19T00:40:25.000,0.28,239.75,-0.14,-0.25
2023-08-19T00:55:25.000,0.32,234.12,-0.19,-0.26
2023-08-19T01:10:25.000,0.30,234.17,-0.17,-0.24
