Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/18/2023,0:00,0.218,-,0.325
8/18/2023,0:06,0.22,-,0.319
8/18/2023,0:12,0.222,-,0.319
8/18/2023,0:18,0.224,-,0.319
8/18/2023,0:24,0.226,-,0.319
8/18/2023,0:30,0.227,-,0.326
8/18/2023,0:36,0.229,-,0.325
8/18/2023,0:42,0.231,-,0.326
8/18/2023,0:48,0.232,-,0.327
8/18/2023,0:54,0.233,-,0.332
8/18/2023,1:00,0.234,-,0.329
8/18/2023,1:06,0.235,-,0.336
8/18/2023,1:12,0.236,-,0.338
8/18/2023,1:18,0.237,-,0.344
8/18/2023,1:24,0.237,-,0.346
8/18/2023,1:30,0.238,-,0.344
8/18/2023,1:36,0.238,-,0.34
8/18/2023,1:42,0.239,-,0.334
8/18/2023,1:48,0.239,-,0.337
8/18/2023,1:54,0.239,-,0.339
8/18/2023,2:00,0.239,-,0.344
8/18/2023,2:06,0.239,-,0.346
8/18/2023,2:12,0.239,-,0.353
8/18/2023,2:18,0.239,-,0.35
8/18/2023,2:24,0.238,-,0.354
8/18/2023,2:30,0.238,-,0.344
8/18/2023,2:36,0.238,-,0.346
8/18/2023,2:42,0.237,-,0.349
8/18/2023,2:48,0.237,-,0.349
8/18/2023,2:54,0.236,-,0.346
8/18/2023,3:00,0.235,-,0.343
8/18/2023,3:06,0.235,-,0.348
8/18/2023,3:12,0.234,-,0.352
8/18/2023,3:18,0.233,-,0.352
8/18/2023,3:24,0.233,-,0.353
8/18/2023,3:30,0.232,-,0.353
8/18/2023,3:36,0.231,-,0.354
8/18/2023,3:42,0.23,-,0.355
8/18/2023,3:48,0.229,-,0.346
8/18/2023,3:54,0.229,-,0.346
8/18/2023,4:00,0.228,-,0.34
8/18/2023,4:06,0.227,-,0.34
8/18/2023,4:12,0.226,-,0.344
8/18/2023,4:18,0.225,-,0.347
8/18/2023,4:24,0.224,-,0.351
8/18/2023,4:30,0.223,-,0.352
8/18/2023,4:36,0.222,-,0.349
8/18/2023,4:42,0.221,-,0.341
8/18/2023,4:48,0.221,-,0.343
8/18/2023,4:54,0.22,-,0.34
8/18/2023,5:00,0.219,-,0.344
8/18/2023,5:06,0.218,-,0.339
8/18/2023,5:12,0.217,-,0.341
8/18/2023,5:18,0.216,-,0.343
8/18/2023,5:24,0.215,-,0.344
8/18/2023,5:30,0.214,-,0.346
8/18/2023,5:36,0.213,-,0.344
8/18/2023,5:42,0.212,-,0.342
8/18/2023,5:48,0.211,-,0.34
8/18/2023,5:54,0.21,-,0.337
8/18/2023,6:00,0.209,-,0.334
8/18/2023,6:06,0.208,-,0.332
8/18/2023,6:12,0.207,-,0.337
8/18/2023,6:18,0.206,-,0.335
8/18/2023,6:24,0.204,-,0.34
8/18/2023,6:30,0.203,-,0.338
8/18/2023,6:36,0.202,-,0.332
8/18/2023,6:42,0.201,-,0.326
8/18/2023,6:48,0.2,-,0.325
8/18/2023,6:54,0.198,-,0.326
8/18/2023,7:00,0.197,-,0.324
8/18/2023,7:06,0.196,-,0.329
8/18/2023,7:12,0.194,-,0.331
8/18/2023,7:18,0.193,-,0.326
8/18/2023,7:24,0.192,-,0.327
8/18/2023,7:30,0.19,-,0.325
8/18/2023,7:36,0.189,-,0.321
8/18/2023,7:42,0.187,-,0.318
8/18/2023,7:48,0.186,-,0.322
8/18/2023,7:54,0.185,-,0.326
8/18/2023,8:00,0.183,-,0.325
8/18/2023,8:06,0.182,-,0.321
8/18/2023,8:12,0.18,-,0.312
8/18/2023,8:18,0.179,-,0.312
8/18/2023,8:24,0.177,-,0.311
8/18/2023,8:30,0.176,-,0.31
8/18/2023,8:36,0.174,-,0.315
8/18/2023,8:42,0.173,-,0.323
8/18/2023,8:48,0.172,-,0.324
8/18/2023,8:54,0.17,-,0.323
8/18/2023,9:00,0.169,-,0.315
8/18/2023,9:06,0.168,-,0.311
8/18/2023,9:12,0.166,-,0.304
8/18/2023,9:18,0.165,-,0.3
8/18/2023,9:24,0.164,-,0.299
8/18/2023,9:30,0.163,-,0.299
8/18/2023,9:36,0.161,-,0.301
8/18/2023,9:42,0.16,-,0.298
8/18/2023,9:48,0.159,-,0.305
8/18/2023,9:54,0.158,-,0.298
8/18/2023,10:00,0.157,-,0.277
8/18/2023,10:06,0.156,-,0.266
8/18/2023,10:12,0.155,-,0.265
8/18/2023,10:18,0.154,-,0.27
8/18/2023,10:24,0.153,-,0.271
8/18/2023,10:30,0.152,-,0.265
8/18/2023,10:36,0.151,-,0.269
8/18/2023,10:42,0.15,-,0.264
8/18/2023,10:48,0.15,-,0.259
8/18/2023,10:54,0.149,-,0.245
8/18/2023,11:00,0.148,-,0.238
8/18/2023,11:06,0.147,-,0.236
8/18/2023,11:12,0.146,-,0.239
8/18/2023,11:18,0.146,-,0.248
8/18/2023,11:24,0.145,-,0.248
8/18/2023,11:30,0.144,-,0.24
